region,district,pcod2,name2,pcod1,name1
ASHANTI,ATWIMA NWABIAGYA SOUTH (ASOKWA MUNICIPAL),fid051,ATWIMA NWABIAGYA SOUTH,fid001,ASHANTI
ASHANTI,ATWIMA NWABIAGYA SOUTH (KUMASI METRO),fid051,ATWIMA NWABIAGYA SOUTH,fid001,ASHANTI
ASHANTI,ATWIMA NWABIAGYA SOUTH (OFORIKROM),fid051,ATWIMA NWABIAGYA SOUTH,fid001,ASHANTI
ASHANTI,BEKWAI,fid058,BEKWAI MUNICIPAL,fid001,ASHANTI
ASHANTI,BEKWAI (ATWIMA KWANWOMA),fid058,BEKWAI MUNICIPAL,fid001,ASHANTI
ASHANTI,BEKWAI (OBUASI),fid058,BEKWAI MUNICIPAL,fid001,ASHANTI
ASHANTI,BOSOME FREHO,fid071,BOSOME FREHO,fid001,ASHANTI
ASHANTI,BOSOMTWE,fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,BOSOMTWE (AFIGYA KWABRE NORTH),fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,BOSOMTWE (ASOKWA MUNICIPAL),fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,BOSOMTWE (ATWIMA KWANWOMA),fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,BOSOMTWE (KUMASI METRO),fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,BOSOMTWE (OFORIKROM),fid072,BOSOMTWI,fid001,ASHANTI
ASHANTI,EJISU,fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (AFIGYA KWABRE NORTH),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (ASOKORE MAMPONG),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (ASOKWA MUNICIPAL),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (BOSOMTWE),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (JUABEN),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (KUMASI METRO),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (OBUASI),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJISU (OFORIKROM),fid257,EJISU,fid001,ASHANTI
ASHANTI,EJURA,fid089,EJURA SEKYE DUMASI,fid001,ASHANTI
ASHANTI,EJURA SEKYEDUMASE,fid089,EJURA SEKYE DUMASI,fid001,ASHANTI
ASHANTI,JUABEN,fid088,JUABEN,fid001,ASHANTI
ASHANTI,KUMASI METRO,KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (ASOKWA MUNICIPAL),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (BONO REGION),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (BOSOMTWE),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (JUABEN),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (KWADASO),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (OBUASI),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (OFORIKROM),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
ASHANTI,KUMASI METRO (UPPER WEST),KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
