pcod2,name2,pcod1,name1
fid128,KOMENDA EDINA EGUAFO ABIREM,fid004,CENTRAL
fid129,KPANDAI,fid008,NORTHERN
fid130,KPANDO MUNICIPAL,fid013,VOLTA
fid131,KPONE KATAMANSO,fid006,GREATER ACCRA
fid132,KRACHI EAST,fid009,OTI
fid133,KRACHI NCHUMURU,fid009,OTI
fid134,KRACHI WEST,fid009,OTI
fid135,KUMBUMGU,fid008,NORTHERN
fid136,KWABRE EAST,fid001,ASHANTI
fid137,KWAEBIBIREM,fid005,EASTERN
fid138,KWAHU AFRAM PLAINS NORTH,fid005,EASTERN
fid139,KWAHU AFRAM PLAINS SOUTH,fid005,EASTERN
fid140,KWAHU EAST,fid005,EASTERN
fid141,KWAHU SOUTH,fid005,EASTERN
fid142,KWAHU WEST,fid005,EASTERN
fid143,LA DADE KOTOPON,fid006,GREATER ACCRA
fid144,LA NKWANANANG MADINA,fid006,GREATER ACCRA
fid145,LAMBUSSIE-KARNI,fid012,UPPER WEST
fid146,LAWRA,fid012,UPPER WEST
fid147,LEKZOKUKU,fid006,GREATER ACCRA
fid148,LOWER MANYA,fid005,EASTERN
fid149,MAMPONG MUNICIPAL,fid001,ASHANTI
fid150,MAMPRUGU MOAGDURI,fid007,NORTH EAST
fid151,MFANTSIMAN,fid004,CENTRAL
fid152,MION,fid008,NORTHERN
fid153,MPOHOR,fid014,WESTERN
fid154,NABDAM,fid011,UPPER EAST
fid155,NADOWLI-KALEO,fid012,UPPER WEST
fid156,NANDOM,fid012,UPPER WEST
fid157,NANUMBA NORTH,fid008,NORTHERN
fid158,NANUMBA SOUTH,fid008,NORTHERN
fid159,NEW JUABEN NORTH,fid005,EASTERN
fid160,NINGO PRAMPRAM,fid006,GREATER ACCRA
fid161,NKORANSA SOUTH,fid003,BONO EAST
fid162,NKORANZA NORTH,fid003,BONO EAST
fid163,NKWANTA NORTH,fid009,OTI
fid164,NKWANTA SOUTH,fid009,OTI
fid165,NORTH DAYI,fid013,VOLTA
fid166,NORTH GONJA,fid010,SAVANNAH
fid167,NORTH TONGU,fid013,VOLTA
fid168,NSAWAM ADOAGYIRI,fid005,EASTERN
fid169,NZEMA EAST,fid014,WESTERN
fid170,OBUASI MUNICIPAL,fid001,ASHANTI
fid171,OFFINSO,fid001,ASHANTI
fid172,OFFINSO NORTH,fid001,ASHANTI
fid173,PRESTEA/HUNI VALLEY,fid014,WESTERN
fid174,PRU WEST,fid003,BONO EAST
fid175,PUSIGA,fid011,UPPER EAST
fid176,SABOBA,fid008,NORTHERN
fid177,SANERIGU,fid008,NORTHERN
fid178,SAVELUGU,fid008,NORTHERN
fid179,SAWLA TUNA KALBA,fid010,SAVANNAH
fid180,SEFWI AKONTOMBRA,fid015,WESTERN NORTH
fid181,SEFWI BIBIANI AHWIASO BEKWAI,fid015,WESTERN NORTH
fid182,SEFWI WIAWSO,fid015,WESTERN NORTH
fid183,SEKYERE KUMAWU,fid001,ASHANTI
fid184,SEKYERE AFRAM PLAINS,fid001,ASHANTI
fid185,SEKYERE CENTRAL,fid001,ASHANTI
fid186,SEKYERE EAST,fid001,ASHANTI
fid187,SEKYERE SOUTH,fid001,ASHANTI
fid188,SENE EAST,fid003,BONO EAST
fid189,SENE WEST,fid003,BONO EAST
fid190,SHAI OSUDOKU,fid006,GREATER ACCRA
fid191,SHAMA,fid014,WESTERN
fid192,SISSALA EAST,fid012,UPPER WEST
fid193,SISSALA WEST,fid012,UPPER WEST
fid194,SOUTH DAYI,fid013,VOLTA
fid195,SOUTH TONGU,fid013,VOLTA
fid197,KWESIMINTIM,fid014,WESTERN
fid200,SUAMAN,fid015,WESTERN NORTH
fid201,SUHUM KRABOA COALTAR,fid005,EASTERN
fid202,SUNYANI MUNICIPAL,fid002,BONO
fid203,SUNYANI WEST,fid002,BONO
fid204,TAIN,fid002,BONO
fid205,TALENSI,fid011,UPPER EAST
fid208,TANO NORTH,fid000,AHAFO
fid209,TANO SOUTH,fid000,AHAFO
fid210,TARKWA NSUAEM,fid014,WESTERN
fid211,TATALE,fid008,NORTHERN
fid212,TECHIMAN MUNICIPAL,fid003,BONO EAST
fid213,TECHIMAN NORTH,fid003,BONO EAST
fid215,TEMA WEST,fid006,GREATER ACCRA
fid216,TOLON,fid008,NORTHERN
fid217,TWIFO ATI MORKWA,fid004,CENTRAL
fid218,TWIFO HEMAN LOWER DENKYIRA,fid004,CENTRAL
fid219,UPPER DENKYIRA EAST,fid004,CENTRAL
fid220,UPPER DENKYIRA WEST,fid004,CENTRAL
fid221,UPPER MANYA KROBO,fid005,EASTERN
fid222,UPPER WEST AKIM,fid005,EASTERN
fid223,WA EAST,fid012,UPPER WEST
fid224,WA MUNICIPAL,fid012,UPPER WEST
fid225,WA WEST,fid012,UPPER WEST
fid226,WASSA AMENFI CENTRAL,fid014,WESTERN
fid227,WASSA AMENFI EAST,fid014,WESTERN
fid228,WASSA AMENFI WEST,fid014,WESTERN
fid229,WASSA EAST,fid014,WESTERN
fid230,WENCHI,fid002,BONO
fid231,WEST AKIM,fid005,EASTERN
fid232,WEST GONJA,fid010,SAVANNAH
fid233,WEST MAMPRUSI,fid007,NORTH EAST
fid234,YENDI,fid008,NORTHERN
fid235,YILO KROBO,fid005,EASTERN
fid236,ZABZUGU,fid008,NORTHERN
fid237,NORTH EAST GONJA,fid010,SAVANNAH
fid238,EAST GONJA,fid010,SAVANNAH
fid239,BOLGA EAST,fid011,UPPER EAST
fid241,PRU EAST,fid003,BONO EAST
fid242,CCM - CAPE COAST SOUTH,fid004,CENTRAL
fid244,TEMPANE,fid011,UPPER EAST
fid245,BUNKPURUGU NYANKPANDURI,fid007,NORTH EAST
fid246,NANTON,fid008,NORTHERN
fid247,BEREKUM EAST,fid002,BONO
fid248,KETA MUNICIPAL,fid013,VOLTA
fid249,WEIJA GBAWE,fid006,GREATER ACCRA
fid250,GA NORTH,fid006,GREATER ACCRA
fid251,KROWOR,fid006,GREATER ACCRA
fid253,NEW JUABEN SOUTH,fid005,EASTERN
fid254,ATWIMA NWABIAGYA NORTH,fid001,ASHANTI
fid255,OBUASI EAST,fid001,ASHANTI
fid256,AKROFUOM,fid001,ASHANTI
fid257,EJISU,fid001,ASHANTI
fid258,AKWAPIM NORTH,fid005,EASTERN
fid259,BIRIM CENTRAL,fid005,EASTERN
fid260,GOMOA CENTRAL,fid004,CENTRAL
fid261,FANTEAKWA SOUTH,fid005,EASTERN
fid262,AFIGYA KWABRE SOUTH,fid001,ASHANTI
fid263,ASSIN FOSU,fid004,CENTRAL
fid264,BIRIM SOUTH,fid005,EASTERN
fid265,ABUAKWA NORTH,fid005,EASTERN
fid266,ATIWA EAST,fid005,EASTERN
fid267,AMANSIE WEST,fid001,ASHANTI
fid268,AHAFO ANO SOUTH EAST,fid001,ASHANTI
fid269,ADANSI NORTH,fid001,ASHANTI
fid270,AYAWASO NORTH,fid006,GREATER ACCRA
KMA,KUMASI METROPOLITAN ASSEMBLY,fid001,ASHANTI
STMA,SEKONDI-TAKORADI METROPOLITAN ASSEMBLY,fid014,WESTERN
TM,TAMALE METROPOLITAN,fid008,NORTHERN
TMA,TEMA METROPOLITAN ASSEMBLY,fid006,GREATER ACCRA
